t,a
5.399863005,-0.362548828
5.405363321,-0.375244141
5.410866976,-0.374511719
5.416394234,-0.376220703
5.421900511,-0.366210938
5.42740798,-0.374511719
5.432911158,-0.367675781
5.438414335,-0.373046875
5.443914413,-0.379394531
5.449415684,-0.380371094
5.454947948,-0.385742188
5.460450411,-0.408691406
5.465952635,-0.397460938
5.471482515,-0.363769531
5.477009535,-0.367919922
5.482533932,-0.337402344
5.488059282,-0.319091797
5.49358654,-0.341308594
5.499104023,-0.333007813
5.504607677,-0.364990234
5.510131121,-0.446044922
5.515653133,-0.533447266
5.521175623,-0.554199219
5.526707172,-0.644287109
5.532247305,-0.698730469
5.537768602,-0.769042969
5.543296576,-0.807373047
5.548822641,-0.82421875
5.554500341,-0.815429688
5.560948133,-0.784667969
5.567393541,-0.676513672
5.573838711,-0.570556641
5.580280781,-0.546386719
5.586724043,-0.543945313
5.593161583,-0.5390625
5.599632502,-0.520996094
5.606071711,-0.522216797
5.612509966,-0.509765625
5.618949652,-0.490478516
5.625388145,-0.473144531
5.631829023,-0.41796875
5.638266087,-0.390625
5.644707918,-0.391601563
5.651157379,-0.255371094
5.657638788,-0.221435547
5.664121151,-0.141845703
5.670573711,-0.063232422
5.677025795,0.021728516
5.683470964,0.107666016
5.689920187,0.028808594
5.696405172,-0.017578125
5.702857018,0.000976563
5.709303379,-0.009277344
5.715753794,-0.030029297
5.722202539,-0.056884766
5.728646994,-0.131835938
5.735091209,-0.192138672
5.741536379,-0.254638672
5.747978449,-0.342041016
5.754458904,-0.154296875
5.76090312,0.01953125
5.767348528,0.104980469
5.773798943,0.120117188
5.780264854,0.038085938
5.786757946,-0.021972656
5.793201447,-0.129882813
5.799650669,-0.230224609
5.806097984,-0.265380859
5.812542439,-0.237792969
5.818991184,-0.201904297
5.825435877,-0.104736328
5.83188343,-0.016845703
5.838327169,0.018310547
5.844800949,0.016601563
5.851276398,-0.002197266
5.857771397,-0.025878906
5.864220619,-0.079589844
5.870705366,-0.072265625
5.877159119,-0.110107422
5.88360548,-0.115234375
5.890049696,-0.093261719
5.896497726,-0.012695313
5.90293622,0.133789063
5.909381151,0.240722656
5.915828228,0.323730469
5.922275305,0.320556641
5.928721905,0.197509766
5.935167789,0.072753906
5.941616297,-0.065185547
5.948062658,-0.212402344
5.954545736,-0.311767578
5.960993767,-0.278320313
5.967438698,-0.195556641
5.973886251,-0.233642578
5.98037672,0.028808594
5.98689723,0.130859375
5.993345976,0.379150391
5.999778271,0.434814453
6.006255627,0.550048828
6.012687445,0.601074219
6.019146442,0.694091797
6.025579929,0.712402344
6.032001734,0.408203125
6.038439274,0.283203125
6.044867516,0.221923828
6.051286697,-0.049804688
6.057744503,-0.002685547
6.063277721,-0.210693359
6.068807602,-0.198486328
